2025-12-09 19:44:43 | INFO     | ui.main_window                 | __init__             | Inicializando ventana principal...
2025-12-09 19:44:43 | INFO     | ui.main_window                 | __init__             | ✅ Tema cargado: light
2025-12-09 19:44:43 | INFO     | ui.main_window                 | __init__             | ✅ Interfaz de usuario creada
2025-12-09 19:44:43 | INFO     | ui.main_window                 | __init__             | ✅ Ventana principal inicializada correctamente
2025-12-09 19:44:43 | INFO     | ui.main_window                 | _load_tabs           | Iniciando carga lazy de tabs...
2025-12-09 22:12:07 | INFO     | ui.main_window                 | __init__             | Inicializando ventana principal...
2025-12-09 22:12:07 | INFO     | ui.main_window                 | __init__             | ✅ Tema cargado: light
2025-12-09 22:12:07 | INFO     | ui.main_window                 | __init__             | ✅ Interfaz de usuario creada
2025-12-09 22:12:07 | INFO     | ui.main_window                 | __init__             | ✅ Ventana principal inicializada correctamente
2025-12-09 22:12:07 | INFO     | ui.main_window                 | _load_tabs           | Iniciando carga lazy de tabs...
2025-12-09 22:12:11 | INFO     | ui.main_window                 | _load_tabs           | ✅ Todos los tabs cargados correctamente
2025-12-09 22:12:11 | INFO     | ui.main_window                 | _load_tabs           | ✅ Señales de tabs conectadas
2025-12-09 22:12:24 | INFO     | ui.main_window                 | closeEvent           | Usuario solicitó cerrar la aplicación
2025-12-09 22:12:24 | INFO     | ui.main_window                 | closeEvent           | Cerrando ventana principal...
2025-12-09 22:56:01 | INFO     | ui.main_window                 | __init__             | Inicializando ventana principal...
2025-12-09 22:56:01 | INFO     | ui.main_window                 | __init__             | ✅ Tema cargado: light
2025-12-09 22:56:01 | INFO     | ui.main_window                 | __init__             | ✅ Interfaz de usuario creada
2025-12-09 22:56:01 | INFO     | ui.main_window                 | __init__             | ✅ Ventana principal inicializada correctamente
2025-12-09 22:56:01 | INFO     | ui.main_window                 | _load_tabs           | Iniciando carga lazy de tabs...
2025-12-09 22:56:05 | INFO     | ui.main_window                 | _load_tabs           | ✅ Todos los tabs cargados correctamente
2025-12-09 22:56:05 | INFO     | ui.main_window                 | _load_tabs           | ✅ Señales de tabs conectadas
2025-12-09 22:56:12 | INFO     | ui.main_window                 | closeEvent           | Usuario solicitó cerrar la aplicación
2025-12-09 22:56:12 | INFO     | ui.main_window                 | closeEvent           | Cerrando ventana principal...
2025-12-09 23:42:09 | INFO     | ui.main_window                 | __init__             | Inicializando ventana principal...
2025-12-09 23:42:09 | INFO     | ui.main_window                 | __init__             | ✅ Tema cargado: light
2025-12-09 23:42:09 | INFO     | ui.main_window                 | __init__             | ✅ Interfaz de usuario creada
2025-12-09 23:42:09 | INFO     | ui.main_window                 | __init__             | ✅ Ventana principal inicializada correctamente
2025-12-09 23:42:09 | INFO     | ui.main_window                 | _load_tabs           | Iniciando carga lazy de tabs...
2025-12-09 23:42:13 | INFO     | ui.main_window                 | _load_tabs           | ✅ Todos los tabs cargados correctamente
2025-12-09 23:42:13 | INFO     | ui.main_window                 | _load_tabs           | ✅ Señales de tabs conectadas
2025-12-09 23:42:59 | INFO     | ui.main_window                 | closeEvent           | Usuario solicitó cerrar la aplicación
2025-12-09 23:42:59 | INFO     | ui.main_window                 | closeEvent           | Cerrando ventana principal...
2025-12-09 23:45:58 | INFO     | ui.main_window                 | __init__             | Inicializando ventana principal...
2025-12-09 23:45:58 | INFO     | ui.main_window                 | __init__             | ✅ Tema cargado: dark
2025-12-09 23:45:58 | INFO     | ui.main_window                 | __init__             | ✅ Interfaz de usuario creada
2025-12-09 23:45:58 | INFO     | ui.main_window                 | __init__             | ✅ Ventana principal inicializada correctamente
2025-12-09 23:45:58 | INFO     | ui.main_window                 | _load_tabs           | Iniciando carga lazy de tabs...
2025-12-09 23:46:03 | INFO     | ui.main_window                 | _load_tabs           | ✅ Todos los tabs cargados correctamente
2025-12-09 23:46:03 | INFO     | ui.main_window                 | _load_tabs           | ✅ Señales de tabs conectadas
2025-12-09 23:46:18 | INFO     | ui.main_window                 | closeEvent           | Usuario solicitó cerrar la aplicación
2025-12-09 23:46:18 | INFO     | ui.main_window                 | closeEvent           | Cerrando ventana principal...
2025-12-10 10:27:13 | INFO     | ui.main_window                 | __init__             | Inicializando ventana principal...
2025-12-10 10:27:13 | INFO     | ui.main_window                 | __init__             | ✅ Tema cargado: dark
2025-12-10 10:27:13 | INFO     | ui.main_window                 | __init__             | ✅ Interfaz de usuario creada
2025-12-10 10:27:13 | INFO     | ui.main_window                 | __init__             | ✅ Ventana principal inicializada correctamente
2025-12-10 10:27:14 | INFO     | ui.main_window                 | _load_tabs           | Iniciando carga lazy de tabs...
2025-12-10 10:27:17 | INFO     | ui.main_window                 | _load_tabs           | ✅ Todos los tabs cargados correctamente
2025-12-10 10:27:17 | INFO     | ui.main_window                 | _load_tabs           | ✅ Señales de tabs conectadas
2025-12-10 10:29:12 | INFO     | ui.main_window                 | closeEvent           | Usuario solicitó cerrar la aplicación
2025-12-10 10:29:12 | INFO     | ui.main_window                 | closeEvent           | Cerrando ventana principal...
2025-12-10 10:35:40 | INFO     | ui.main_window                 | __init__             | Inicializando ventana principal...
2025-12-10 10:35:40 | INFO     | ui.main_window                 | __init__             | ✅ Tema cargado: dark
2025-12-10 10:35:40 | INFO     | ui.main_window                 | __init__             | ✅ Interfaz de usuario creada
2025-12-10 10:35:40 | INFO     | ui.main_window                 | __init__             | ✅ Ventana principal inicializada correctamente
2025-12-10 10:35:40 | INFO     | ui.main_window                 | _load_tabs           | Iniciando carga lazy de tabs...
2025-12-10 10:35:45 | INFO     | ui.main_window                 | _load_tabs           | ✅ Todos los tabs cargados correctamente
2025-12-10 10:35:45 | INFO     | ui.main_window                 | _load_tabs           | ✅ Señales de tabs conectadas
2025-12-10 10:37:01 | INFO     | ui.main_window                 | closeEvent           | Usuario solicitó cerrar la aplicación
2025-12-10 10:37:01 | INFO     | ui.main_window                 | closeEvent           | Cerrando ventana principal...
2025-12-10 10:52:35 | INFO     | ui.main_window                 | __init__             | Inicializando ventana principal...
2025-12-10 10:52:35 | INFO     | ui.main_window                 | __init__             | ✅ Tema cargado: dark
2025-12-10 10:52:35 | INFO     | ui.main_window                 | __init__             | ✅ Interfaz de usuario creada
2025-12-10 10:52:35 | INFO     | ui.main_window                 | __init__             | ✅ Ventana principal inicializada correctamente
2025-12-10 10:52:35 | INFO     | ui.main_window                 | _load_tabs           | Iniciando carga lazy de tabs...
2025-12-10 10:52:38 | INFO     | ui.main_window                 | _load_tabs           | ✅ Todos los tabs cargados correctamente
2025-12-10 10:52:38 | INFO     | ui.main_window                 | _load_tabs           | ✅ Señales de tabs conectadas
2025-12-10 10:54:35 | INFO     | ui.main_window                 | closeEvent           | Usuario solicitó cerrar la aplicación
2025-12-10 10:54:35 | INFO     | ui.main_window                 | closeEvent           | Cerrando ventana principal...
2025-12-10 10:57:04 | INFO     | ui.main_window                 | __init__             | Inicializando ventana principal...
2025-12-10 10:57:04 | INFO     | ui.main_window                 | __init__             | ✅ Tema cargado: dark
2025-12-10 10:57:04 | INFO     | ui.main_window                 | __init__             | ✅ Interfaz de usuario creada
2025-12-10 10:57:04 | INFO     | ui.main_window                 | __init__             | ✅ Ventana principal inicializada correctamente
2025-12-10 10:57:04 | INFO     | ui.main_window                 | _load_tabs           | Iniciando carga lazy de tabs...
2025-12-10 10:57:04 | INFO     | ui.main_window                 | _load_tabs           | ✅ Todos los tabs cargados correctamente
2025-12-10 10:57:04 | INFO     | ui.main_window                 | _load_tabs           | ✅ Señales de tabs conectadas
2025-12-10 10:58:11 | INFO     | ui.main_window                 | closeEvent           | Usuario solicitó cerrar la aplicación
2025-12-10 10:58:11 | INFO     | ui.main_window                 | closeEvent           | Cerrando ventana principal...
2025-12-10 11:16:02 | INFO     | ui.main_window                 | __init__             | Inicializando ventana principal...
2025-12-10 11:16:02 | INFO     | ui.main_window                 | __init__             | ✅ Tema cargado: dark
2025-12-10 11:16:02 | INFO     | ui.main_window                 | __init__             | ✅ Interfaz de usuario creada
2025-12-10 11:16:02 | INFO     | ui.main_window                 | __init__             | ✅ Ventana principal inicializada correctamente
2025-12-10 11:16:03 | INFO     | ui.main_window                 | _load_tabs           | Iniciando carga lazy de tabs...
2025-12-10 11:16:03 | INFO     | ui.main_window                 | _load_tabs           | ✅ Todos los tabs cargados correctamente
2025-12-10 11:16:03 | INFO     | ui.main_window                 | _load_tabs           | ✅ Señales de tabs conectadas
2025-12-10 11:18:17 | INFO     | ui.main_window                 | closeEvent           | Usuario solicitó cerrar la aplicación
2025-12-10 11:18:17 | INFO     | ui.main_window                 | closeEvent           | Cerrando ventana principal...
